Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,8675,0,4,31.693215956087545,1.9140009999318863,306.0255119999056,10038.645072046109,28.931690534409316,0.0,4,6,61,80,110,130,160,190,290,310,310
GET,/cart,18638,0,4,5.312370230818816,1.709295999717142,192.5655260001804,12944.520173838395,62.15894503519549,0.0,4,4,4,5,6,8,36,48,110,190,190
POST,/cart,18765,0,5,6.932561133865223,2.7982620003967895,249.93973500022548,17608.770530242473,62.58249831448886,0.0,5,6,6,7,8,11,29,46,110,150,250
POST,/cart/checkout,6278,0,4,4.440808532018697,1.8489080002837,138.4470559996771,6446.361261548263,20.937539270895872,0.0,4,4,5,5,6,7,9,11,77,140,140
GET,/product/0PUK6V6EV0,9167,0,3,5.181831486198966,1.9258040001659538,181.31220700070116,7591.905639794916,30.572542608522216,0.0,3,4,4,4,5,7,39,52,88,180,180
GET,/product/1YMWWN1N4O,9167,0,3,5.076937798079417,1.9486419996610493,180.55261200061068,7639.228318970219,30.572542608522216,0.0,3,4,4,4,5,7,38,50,75,180,180
GET,/product/2ZYFJ3GM2N,9096,0,3,5.186296910292321,1.7561590002515004,185.54898999991565,7611.144678979771,30.33575297994088,0.0,3,4,4,4,5,7,37,50,120,190,190
GET,/product/66VCHSJNUP,8919,0,3,5.266468495461101,1.5268010001818766,189.59608299974207,7579.21504652988,29.745446441083192,0.0,3,4,4,4,5,8,40,52,120,190,190
GET,/product/6E92ZMYYFZ,9149,0,3,5.194936281563361,1.6573339999013115,185.95281200032332,7586.242321565199,30.51251143507906,0.0,3,4,4,4,5,7,39,51,83,190,190
GET,/product/9SIQT8TOJO,9063,0,3,5.169367778217319,1.8171310002799146,186.2236570004825,7637.909963588216,30.22569582862843,0.0,3,4,4,4,5,7,38,51,83,190,190
GET,/product/L9ECAV7KIM,9002,0,3,5.152081440458655,1.8015560008279863,184.404290999737,7609.100199955566,30.022256851959963,0.0,3,4,4,4,5,7,38,52,92,180,180
GET,/product/LS4PSXUNUM,8970,0,3,5.226661104792677,1.7602799998712726,191.86843900024542,7603.034559643255,29.9155347658388,0.0,3,4,4,5,5,8,39,50,130,190,190
GET,/product/OLJCESPC7Z,9203,0,3,5.064700878518814,1.898775999507052,183.08827100008784,7641.589155710095,30.692604955408523,0.0,3,4,4,4,5,7,36,48,76,180,180
POST,/setCurrency,12479,0,5,7.465534762320055,2.879416999348905,243.472290999307,10057.617357160028,41.618278522062695,0.0,5,6,6,6,8,10,56,79,130,240,240
,Aggregated,146571,0,4,7.146852566968083,1.5268010001818766,306.0255119999056,9871.377318842064,488.82384015203553,0.0,4,5,5,5,7,17,62,94,180,280,310
