Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4777,0,4,29.583021784172903,1.9250379991717637,198.33330099936575,9928.446095876074,15.945980129074783,0.0,4,5,60,77,110,120,140,160,200,200,200
GET,/cart,10746,0,4,4.65416725099409,2.127230000041891,79.9417930029449,12986.83221663875,35.87094462362102,0.0,4,4,4,5,5,6,20,41,66,78,80
POST,/cart,10720,0,5,6.302521701299998,3.3249389998672996,99.98320099839475,17529.27089552239,35.78415469618624,0.0,5,6,6,6,7,9,18,38,79,87,100
POST,/cart/checkout,3576,0,4,4.516080147672667,2.692385998670943,70.46682899817824,6396.041107382551,11.936953096414365,0.0,4,5,5,5,6,6,8,11,18,70,70
GET,/product/0PUK6V6EV0,5088,0,3,4.648208521259976,2.080295998894144,81.70696399974986,7529.273584905661,16.984121184160035,0.0,3,4,4,4,5,6,35,47,66,82,82
GET,/product/1YMWWN1N4O,5200,0,3,4.467597032466633,2.243374998215586,81.8946980034525,7579.756730769231,17.35798548695601,0.0,3,4,4,4,5,6,17,46,74,82,82
GET,/product/2ZYFJ3GM2N,5134,0,3,4.715209466885398,2.1930900002189446,77.1454130008351,7550.6451110245425,17.137672594236953,0.0,3,4,4,4,5,6,39,50,71,77,77
GET,/product/66VCHSJNUP,5139,0,3,4.504970836524532,2.1354009986680467,72.5743639995926,7518.823506518778,17.15436296489749,0.0,3,4,4,4,5,6,21,45,65,73,73
GET,/product/6E92ZMYYFZ,5174,0,3,4.481804881926712,2.1261119982227683,77.58876600200892,7528.9741012756085,17.27119555952123,0.0,3,4,4,4,5,6,18,48,71,78,78
GET,/product/9SIQT8TOJO,5125,0,3,4.530151528600893,2.179191000323044,73.09838399669388,7573.157073170732,17.10762992704799,0.0,3,4,4,4,5,6,30,47,71,73,73
GET,/product/L9ECAV7KIM,5158,0,3,4.534865576575318,2.036087000305997,77.70679800159996,7549.044009305932,17.21778637340752,0.0,3,4,4,4,5,6,29,46,73,78,78
GET,/product/LS4PSXUNUM,5099,0,3,4.489958036113177,2.235484000266297,75.61323200206971,7534.305550107864,17.020839999613212,0.0,3,4,4,4,5,6,22,46,67,76,76
GET,/product/OLJCESPC7Z,5122,0,3,4.487552463464853,2.2141820008982904,73.48802900014562,7578.081803982819,17.097615704651673,0.0,3,4,4,4,5,6,19,46,67,73,73
POST,/setCurrency,7048,0,5,6.502637378830993,3.017217997694388,107.65632599941455,9946.126844494893,23.52674648308961,0.0,5,5,5,6,7,8,42,72,93,110,110
,Aggregated,83106,0,4,6.386923703730502,1.9250379991717637,198.33330099936575,9830.055711982288,277.41398882287814,0.0,4,4,5,5,6,8,54,86,140,190,200
