Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,7489,0,5,36.75302117641057,2.1004720001656096,506.11344300159544,10039.198023768193,24.950936598946058,0.0,5,7,70,88,120,150,200,240,290,510,510
GET,/cart,17184,0,4,6.298248511285729,2.010307000091416,166.7102840001462,13047.730039571694,57.251554882666454,0.0,4,5,5,6,7,10,43,58,100,160,170
POST,/cart,16809,0,6,8.36524351697915,3.167504999510129,195.83410400082357,17618.44285799274,56.002175629814964,0.0,6,7,8,8,10,14,36,59,150,190,200
POST,/cart/checkout,5617,0,5,5.3151450162121465,2.136371000233339,162.24750599940307,6446.491009435642,18.714035368711443,0.0,5,5,6,6,7,9,11,15,140,160,160
GET,/product/0PUK6V6EV0,8032,0,4,6.201507304900901,2.1323889995983336,179.62753999927372,7591.657121513944,26.760037757075008,0.0,4,5,5,5,7,10,46,58,120,180,180
GET,/product/1YMWWN1N4O,7971,0,4,6.233135733414139,1.8524660008552019,142.47045400043135,7638.9086689248525,26.556805398611168,0.0,4,5,5,5,7,9,48,64,100,140,140
GET,/product/2ZYFJ3GM2N,8127,0,4,6.315716692754152,2.080009000565042,143.2174040000973,7611.905746277839,27.076547167797383,0.0,4,5,5,5,7,11,48,63,100,140,140
GET,/product/66VCHSJNUP,8109,0,4,6.149525519178386,2.052351001111674,161.47324700068566,7578.560241706746,27.016576963660512,0.0,4,5,5,5,7,10,46,60,140,160,160
GET,/product/6E92ZMYYFZ,8000,0,4,6.296391507111821,1.8099320004694164,148.04594099950918,7585.975125,26.653424060831682,0.0,4,5,5,5,7,10,48,62,120,150,150
GET,/product/9SIQT8TOJO,8103,0,4,6.201190167961886,2.1092019997013267,160.1413769985811,7638.419721090954,26.99658689561489,0.0,4,5,5,5,7,10,47,60,100,160,160
GET,/product/L9ECAV7KIM,8129,0,4,5.955138876136074,2.064223999695969,154.68664500076557,7609.977488005905,27.083210523812593,0.0,4,5,5,5,7,9,45,59,87,150,150
GET,/product/LS4PSXUNUM,7995,0,4,6.250804751723238,2.0519329991657287,163.74112799894647,7603.189743589744,26.63676567079366,0.0,4,5,5,5,7,10,47,62,130,160,160
GET,/product/OLJCESPC7Z,8108,0,4,6.031812143195967,1.932782999574556,129.99438400038343,7641.61322150962,27.01324528565291,0.0,4,5,5,5,7,9,46,62,94,130,130
POST,/setCurrency,11041,0,6,8.905685972552513,3.0352260000654496,200.36092699956498,10058.460374966036,36.78505688195533,0.0,6,7,7,8,10,13,65,93,170,190,200
,Aggregated,130714,0,5,8.421941682023952,1.8099320004694164,506.11344300159544,9908.511047018683,435.49695908594407,0.0,5,5,6,6,8,23,72,110,210,290,510
