Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,958,0,8,20.495744295397294,2.315374999852793,302.24387800080876,9925.549060542797,3.1933484411265614,0.0,8,17,31,38,51,62,82,89,300,300,300
GET,/cart,2190,0,6,9.92540440503039,1.841082999817445,308.29205400004867,12695.151141552511,7.300034536604561,0.0,6,8,10,11,19,27,38,68,250,310,310
POST,/cart,2185,0,6,14.396139479189936,3.0773419994147844,442.8768580000906,17406.87505720824,7.283367791087199,0.0,6,8,11,13,21,35,92,240,440,440,440
POST,/cart/checkout,766,0,4,7.794009464761353,2.031540000643872,157.41057900049782,6395.763707571801,2.55334541325986,0.0,4,6,8,10,15,21,36,68,160,160,160
GET,/imageservice/huge.jpg,756,0,47,55.50608146163829,30.125296999358397,410.44219200011867,5249178.0,2.520011922225136,0.0,47,53,59,63,79,98,120,220,410,410,410
GET,/imageservice/huge1.jpg,750,0,47,55.49306537997836,31.6937899997356,404.78938599972025,5249178.0,2.5000118276043017,0.0,47,54,59,63,76,94,130,260,400,400,400
GET,/imageservice/huge2.jpg,817,0,48,58.11326545041315,31.43754299981083,417.73682399980316,5249178.0,2.7233462175369523,0.0,48,54,60,65,82,110,170,280,420,420,420
GET,/imageservice/huge3.jpg,843,0,48,57.564362724770895,32.288557999891054,438.97769399973186,5249178.0,2.810013294227235,0.0,48,55,60,64,80,100,170,270,440,440,440
GET,/imageservice/huge4.jpg,761,0,48,55.59286317213823,31.20993000084127,471.7867079998541,5249178.0,2.536678667742498,0.0,48,54,58,62,77,100,130,170,470,470,470
GET,/imageservice/huge5.jpg,784,0,47,56.03340596810099,31.377619000522827,368.53007699937734,5249178.0,2.613345697122363,0.0,47,53,59,63,76,94,170,250,370,370,370
GET,/imageservice/huge6.jpg,815,0,47,55.80635234724981,30.596934999266523,388.25420499961183,5249178.0,2.7166795193300075,0.0,47,54,59,64,78,93,160,240,390,390,390
GET,/imageservice/huge7.jpg,822,0,48,57.620245035300805,31.984819000172138,426.20094700032496,5249178.0,2.7400129630543146,0.0,48,55,61,65,81,100,140,280,430,430,430
GET,/imageservice/huge8.jpg,775,0,48,55.722665197412894,31.574990999615693,480.71744099979696,5249178.0,2.5833455551911118,0.0,48,54,59,63,78,95,130,220,480,480,480
GET,/product/0PUK6V6EV0,984,0,5,9.768571408552283,2.024835999691277,293.2102690001557,7526.157520325203,3.2800155178168438,0.0,5,7,9,11,17,24,39,87,290,290,290
GET,/product/1YMWWN1N4O,1063,0,6,10.793817687679644,2.2599210005864734,292.7321369998026,7576.855126999059,3.5433500969911633,0.0,6,8,10,13,20,28,46,130,230,290,290
GET,/product/2ZYFJ3GM2N,1116,0,6,10.63342078315898,2.0740039999509463,292.10838499966485,7548.887096774193,3.7200175994752005,0.0,6,7,10,11,18,27,42,160,260,290,290
GET,/product/66VCHSJNUP,995,0,5,9.23230515677757,2.248187999612128,219.1990060000535,7516.088442211055,3.31668235795504,0.0,5,7,9,11,18,25,36,49,220,220,220
GET,/product/6E92ZMYYFZ,1021,0,5,9.496584666996602,2.280663999954413,245.64967900005286,7524.434867776689,3.4033494346453224,0.0,5,7,8,10,15,24,42,58,240,250,250
GET,/product/9SIQT8TOJO,1036,0,5,8.712938857155164,1.9475220005915617,255.07006800035015,7569.512548262548,3.4533496711974085,0.0,5,7,9,11,15,24,39,58,210,260,260
GET,/product/L9ECAV7KIM,1071,0,5,9.485997140975773,1.6377060001104837,257.494116000089,7546.700280112045,3.570016889818943,0.0,5,7,9,11,19,28,38,49,250,260,260
GET,/product/LS4PSXUNUM,1032,0,6,9.784412641489473,1.890321000246331,236.33076999976765,7532.049418604651,3.440016274783519,0.0,6,8,10,11,17,27,38,58,220,240,240
GET,/product/OLJCESPC7Z,991,0,5,10.236793120101723,2.303222999216814,255.69619399993826,7579.494450050454,3.3033489615411504,0.0,5,7,9,11,16,27,45,92,260,260,260
POST,/setCurrency,1413,0,7,14.114886163489386,3.3958180001718574,291.49280399997224,9943.622080679406,4.710022283206504,0.0,7,10,12,14,21,33,65,230,280,290,290
,Aggregated,23944,0,9,24.718520064988034,1.6377060001104837,480.71744099979696,1568428.1574089543,79.81371093354319,0.0,9,28,40,44,56,71,100,180,360,440,480
