Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2928,0,4,34.329555062159955,2.3655900004087016,236.77061700072954,9927.439549180328,9.760441088455561,0.0,4,6,54,79,130,160,190,210,230,240,240
GET,/cart,6399,0,4,5.3452949295184595,2.1087150016683154,133.8040410009853,12946.958587279263,21.330963977126753,0.0,4,4,5,5,6,8,14,62,100,130,130
POST,/cart,6643,0,6,7.7011568003854265,3.119247001450276,162.16019000057713,17545.44633448743,22.144334067831384,0.0,6,6,7,7,8,10,45,93,140,160,160
POST,/cart/checkout,2245,0,4,4.502298851210128,1.9723850018635858,98.73503799826722,6396.229398663697,7.483671531278256,0.0,4,4,5,5,6,7,9,12,64,99,99
GET,/imageservice/bamboo-glass-jar.jpg,2351,0,2,3.2990849659739205,1.335643002676079,118.40769199989154,75412.0,7.837020832977808,0.0,2,3,3,3,4,5,9,41,84,120,120
GET,/imageservice/candle-holder.jpg,2341,0,2,3.7175248560238776,1.4238530020520557,91.64329399936832,89602.0,7.803685993194832,0.0,2,3,3,3,4,5,24,55,79,92,92
GET,/imageservice/hairdryer.jpg,2370,0,2,2.9304530172988126,1.2210340028104838,93.36746299959486,66076.0,7.900357028565464,0.0,2,2,3,3,3,4,6,36,79,93,93
GET,/imageservice/loafers.jpg,2384,0,3,4.466085045662369,1.765026001521619,126.78137100010645,131516.0,7.9470258042616315,0.0,3,3,4,4,5,6,41,57,87,130,130
GET,/imageservice/mug.jpg,2406,0,2,3.107831319160633,1.1975670022366103,93.27967300123419,62732.0,8.02036245178418,0.0,2,2,3,3,3,4,9,44,77,93,93
GET,/imageservice/salt-and-pepper-shakers.jpg,2456,0,3,3.7710410480765693,1.5133189990592655,122.3981389994151,107881.0,8.187036650699064,0.0,3,3,3,3,4,5,9,53,78,120,120
GET,/imageservice/sunglasses.jpg,2364,0,2,2.923378819369675,1.2536499998532236,86.07855800073594,65681.0,7.880356124695679,0.0,2,2,3,3,3,4,6,37,77,86,86
GET,/imageservice/tank-top.jpg,2389,0,3,4.2960684332474735,1.8810319998010527,108.31326699917554,155767.0,7.96369322415312,0.0,3,4,4,4,5,6,10,50,75,110,110
GET,/imageservice/watch.jpg,2337,0,3,3.9891486623897863,1.5168110003287438,116.57066000043415,98510.0,7.790352057281641,0.0,3,3,3,3,4,5,38,56,94,120,120
GET,/product/0PUK6V6EV0,3096,0,4,4.857234697010662,1.808537999750115,110.71866700149258,7527.479651162791,10.320466396809568,0.0,4,4,4,5,6,7,10,58,84,110,110
GET,/product/1YMWWN1N4O,3150,0,4,5.567530158063857,2.0025560006615706,159.60993900080211,7579.831746031746,10.500474531637643,0.0,4,4,5,5,6,7,47,66,140,160,160
GET,/product/2ZYFJ3GM2N,3098,0,4,4.955604225966927,2.13218199860421,124.61357100255555,7551.2295029051,10.327133364766164,0.0,4,4,4,5,6,7,11,57,96,120,120
GET,/product/66VCHSJNUP,3069,0,4,5.291019452901747,1.6920429989113472,151.7138339986559,7516.784620397523,10.230462329395532,0.0,4,4,4,5,6,7,42,64,94,150,150
GET,/product/6E92ZMYYFZ,3205,0,4,5.262431177542795,2.2197619982762262,173.94596000303864,7527.607488299532,10.683816150444015,0.0,4,4,5,5,6,7,24,60,130,170,170
GET,/product/9SIQT8TOJO,3091,0,4,5.382929535102359,2.0200159997330047,151.65384200008702,7571.497573600776,10.303798976918081,0.0,4,4,4,5,6,7,38,65,120,150,150
GET,/product/L9ECAV7KIM,3057,0,4,5.414080474342128,2.110112000082154,178.53396600185079,7549.912332351979,10.19046052165596,0.0,4,4,4,5,6,7,46,66,110,180,180
GET,/product/LS4PSXUNUM,3140,0,4,5.26861529014455,2.1626319976348896,174.12272799992934,7533.985350318471,10.467139691854666,0.0,4,4,4,5,6,7,26,63,110,170,170
GET,/product/OLJCESPC7Z,3135,0,4,5.0726695955353875,1.9291540011181496,122.17667200093274,7579.647527910686,10.450472271963177,0.0,4,4,4,5,6,7,23,61,91,120,120
POST,/setCurrency,4288,0,5,7.99301919123655,3.1952339995768853,180.3633159979654,9946.315298507463,14.293979298940384,0.0,5,6,6,6,8,9,68,130,170,180,180
,Aggregated,71942,0,4,6.31365936584691,1.1975670022366103,236.77061700072954,35137.21899585777,239.81750436669057,0.0,4,4,5,5,6,8,59,95,180,230,240
