Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6735,0,4,28.422652588421915,1.8453449993103277,207.35795099972165,9926.490423162584,22.43896322700088,0.0,4,6,56,72,100,110,140,160,190,210,210
GET,/cart,14822,0,4,5.414799709014848,1.9063869985984638,135.76830199963297,12962.666306841182,49.3823775724732,0.0,4,5,5,5,7,9,33,46,120,130,140
POST,/cart,14689,0,6,7.269975252296729,3.108423999947263,160.45110499908333,17535.37933147253,48.93926218877742,0.0,6,6,7,8,9,12,26,43,130,160,160
POST,/cart/checkout,4873,0,4,4.687687626318044,1.9862850003846688,62.030617000345956,6396.16191257952,16.235347855259878,0.0,4,5,5,5,6,8,10,13,48,62,62
GET,/product/0PUK6V6EV0,7179,0,4,5.423283026178381,1.9995550010207808,140.99592000093253,7527.931884663602,23.91823563572967,0.0,4,4,5,5,6,9,38,50,130,140,140
GET,/product/1YMWWN1N4O,7209,0,4,5.219622485630886,1.9471739997243276,140.41323399942485,7579.393535857956,24.01818647415729,0.0,4,4,5,5,6,8,34,47,120,140,140
GET,/product/2ZYFJ3GM2N,7068,0,4,5.3062544656330015,2.0576620008796453,142.10429999911867,7549.842529711375,23.54841753354747,0.0,4,4,5,5,6,8,36,49,130,140,140
GET,/product/66VCHSJNUP,7116,0,4,5.144012142784843,1.8233459995826706,303.25521399936406,7518.351180438449,23.708338875031664,0.0,4,4,5,5,6,8,32,46,120,300,300
GET,/product/6E92ZMYYFZ,7049,0,4,5.33549852971519,1.9989960001112195,144.63855899884948,7527.322173357923,23.485115335876646,0.0,4,4,5,5,6,8,38,49,130,140,140
GET,/product/9SIQT8TOJO,7138,0,4,5.241844990615394,1.8784499989124015,136.14523599972017,7572.272625385262,23.781636156545254,0.0,4,4,5,5,6,8,36,50,110,140,140
GET,/product/L9ECAV7KIM,7061,0,4,5.311152356045042,2.0040950003021862,139.095749000262,7548.913609970259,23.525095671247694,0.0,4,4,5,5,6,8,36,49,120,140,140
GET,/product/LS4PSXUNUM,7018,0,4,5.1782115266664395,1.8887860005634138,140.63588800127036,7533.465944713594,23.38183280283477,0.0,4,4,5,5,6,8,35,46,110,140,140
GET,/product/OLJCESPC7Z,7199,0,4,5.188364538689892,1.9231480000598822,138.49672099968302,7578.051257119045,23.984869528014748,0.0,4,4,5,5,6,8,34,48,110,140,140
POST,/setCurrency,9934,0,5,7.849192987319313,2.9482779991667485,180.7263669998065,9943.75629152406,33.09705429799951,0.0,5,6,7,7,9,12,52,81,150,180,180
,Aggregated,115090,0,4,7.091682791539607,1.8233459995826706,303.25521399936406,9817.519914849248,383.4447331544961,0.0,4,5,5,6,8,13,57,88,150,190,300
