Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1951,0,5,40.11103671553057,3.962454999964393,219.5202769999014,9928.79600205023,6.51403631203606,0.0,5,6,87,110,150,170,180,190,220,220,220
GET,/cart,4272,0,5,6.256180156601352,3.406517000257736,129.84224599949812,12927.473314606741,14.263435738092284,0.0,5,5,6,6,6,7,30,62,94,130,130
POST,/cart,4331,0,7,7.7532052456682825,5.214222999711637,106.02686899983382,17525.685753867467,14.460426072490094,0.0,7,7,8,8,9,9,13,37,80,110,110
POST,/cart/checkout,1430,0,5,5.078980551760734,3.5353749999558204,32.05841400085774,6395.8279720279725,4.774511494726584,0.0,5,5,5,5,6,6,8,10,14,32,32
GET,/product/0PUK6V6EV0,2039,0,5,5.783218819513381,3.695940000397968,115.69076100022357,7528.0024521824425,6.807852404019234,0.0,5,5,5,5,6,6,9,68,96,120,120
GET,/product/1YMWWN1N4O,2095,0,5,5.893199883526092,3.6710760005007614,101.63572700002987,7580.4453460620525,6.9948262807358,0.0,5,5,5,5,6,6,11,69,92,100,100
GET,/product/2ZYFJ3GM2N,2082,0,5,6.008291555249199,3.5434060000625323,112.96079800013104,7549.190682036503,6.95142163078374,0.0,5,5,5,5,6,6,38,63,96,110,110
GET,/product/66VCHSJNUP,2078,0,5,5.983254905194677,3.5450820005280548,117.1190180002668,7518.794032723773,6.9380663538754135,0.0,5,5,5,5,6,6,38,67,100,120,120
GET,/product/6E92ZMYYFZ,2077,0,5,5.8265957563655695,3.6623460000555497,103.40096999971138,7528.977852672123,6.934727534648332,0.0,5,5,5,5,6,6,9,67,96,100,100
GET,/product/9SIQT8TOJO,2107,0,5,6.351540468909837,3.5915270000259625,117.89663399940764,7572.433317513051,7.034892111460778,0.0,5,5,5,5,6,6,60,77,99,120,120
GET,/product/L9ECAV7KIM,2020,0,5,5.825380435636353,3.548714000316977,109.00812099953328,7549.373267326732,6.744414838704685,0.0,5,5,5,5,6,6,9,65,98,110,110
GET,/product/LS4PSXUNUM,2104,0,5,6.14063786834481,3.5596090001490666,109.03906099974847,7534.643060836502,7.024875653779533,0.0,5,5,5,5,6,6,48,75,110,110,110
GET,/product/OLJCESPC7Z,2161,0,5,6.211081579833762,3.679946000374912,141.13875099974393,7577.925960203609,7.215188349723181,0.0,5,5,5,5,6,6,43,71,110,140,140
POST,/setCurrency,2823,0,6,7.859361441025436,4.886946000624448,131.33880799978215,9946.749202975558,9.42548667805115,0.0,6,6,7,7,7,8,37,83,120,130,130
,Aggregated,33570,0,5,8.361234505808424,3.406517000257736,219.5202769999014,9811.442448614835,112.08416145312687,0.0,5,5,6,6,7,9,79,120,180,220,220
