Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4806,0,8,56.54209819059439,4.233077999742818,354.10010700070416,9926.339159384102,16.05418649562339,0.0,8,11,120,150,200,230,270,290,350,350,350
GET,/cart,10541,0,7,10.29480928737054,3.689224999106955,284.74753400041664,12690.184612465611,35.21164790894011,0.0,7,8,9,10,12,15,69,110,200,250,280
POST,/cart,10636,0,10,14.438115815622583,6.024995000188937,433.7712350006768,17477.014949229033,35.52899033862887,0.0,10,12,13,14,17,22,80,140,260,310,430
POST,/cart/checkout,3710,0,9,10.198928095699353,5.522138000742416,146.77146100075333,6395.807547169811,12.39305699100349,0.0,9,10,11,11,13,15,22,30,96,150,150
GET,/imageservice/bamboo-glass-jar.jpg,3877,0,3,5.670596838542238,1.6793329996289685,208.13936200102034,75412.0,12.950911577930063,0.0,3,4,4,5,6,9,53,81,160,210,210
GET,/imageservice/candle-holder.jpg,3784,0,3,5.496902139519553,1.7356250009470386,198.38449499911803,89602.0,12.6402500414979,0.0,3,4,4,5,6,8,43,76,140,200,200
GET,/imageservice/hairdryer.jpg,3879,0,3,4.930266551926073,1.6103990001283819,220.87079400080256,66076.0,12.957592471186668,0.0,3,4,4,4,5,7,25,73,150,220,220
GET,/imageservice/loafers.jpg,4011,0,4,6.320629107696167,2.0809900015592575,170.3250049995404,131516.0,13.398531426122641,0.0,4,5,5,6,7,10,42,84,150,170,170
GET,/imageservice/mug.jpg,3807,0,3,5.128485841088645,1.4840570001979358,161.80241599977307,62732.0,12.717080313948864,0.0,3,3,4,4,6,8,48,74,120,160,160
GET,/imageservice/salt-and-pepper-shakers.jpg,3969,0,4,5.830291072569222,1.9009389998245751,213.12414200110652,107881.0,13.258232667733923,0.0,4,4,5,5,7,9,47,73,140,210,210
GET,/imageservice/sunglasses.jpg,3891,0,3,5.0698553055891455,1.568146000863635,197.3276579992671,65681.0,12.997677830726301,0.0,3,4,4,4,6,8,39,67,130,200,200
GET,/imageservice/tank-top.jpg,3944,0,4,6.827080752041082,2.284227999552968,211.0941360006109,155767.0,13.174721502026353,0.0,4,5,6,6,8,11,49,81,170,210,210
GET,/imageservice/watch.jpg,3956,0,4,5.599907025011462,1.8619679995026672,214.60610399844882,98510.0,13.214806861565986,0.0,4,4,5,5,6,8,32,76,150,210,210
GET,/product/0PUK6V6EV0,5104,0,7,10.312250836410332,4.073281999808387,273.67022200087376,7525.328761755486,17.049639590857634,0.0,7,8,8,9,11,15,86,120,200,270,270
GET,/product/1YMWWN1N4O,5161,0,7,9.977649095714568,4.057286998431664,222.63875600037863,7576.885293547762,17.240045048670893,0.0,7,8,8,9,11,14,78,120,190,220,220
GET,/product/2ZYFJ3GM2N,5037,0,7,9.818587615652243,4.009446000054595,269.6224329993129,7547.946793726424,16.825829666761344,0.0,7,8,8,9,11,14,66,120,200,270,270
GET,/product/66VCHSJNUP,5191,0,7,9.979953269914402,4.0274650000355905,225.16875499968592,7515.627817376228,17.34025844751998,0.0,7,8,8,9,11,15,79,110,190,230,230
GET,/product/6E92ZMYYFZ,5185,0,7,10.130876359525612,4.038569999465835,222.58295199935674,7525.6518804243005,17.32021576775016,0.0,7,8,8,9,11,15,81,120,180,220,220
GET,/product/9SIQT8TOJO,5082,0,7,10.458991896108264,3.9477769987570355,221.8548569999257,7570.411255411255,16.976149765034968,0.0,7,8,8,9,11,16,89,120,180,220,220
GET,/product/L9ECAV7KIM,4957,0,7,10.069008662496245,4.01573199997074,215.14611599923228,7547.069396812588,16.558593936497118,0.0,7,8,8,9,11,15,83,120,190,220,220
GET,/product/LS4PSXUNUM,5003,0,7,10.382499418944004,3.929688000425813,248.5599169995112,7531.948231061363,16.712254481399047,0.0,7,8,8,9,11,15,90,110,180,250,250
GET,/product/OLJCESPC7Z,5035,0,7,10.414650669288715,3.9401639987772796,249.6593590003613,7576.151539225422,16.819148773504736,0.0,7,8,8,9,11,15,91,120,180,250,250
POST,/setCurrency,7187,0,9,14.354132552391029,5.1530969994928455,337.49220599929686,9942.7907332684,24.00778991761242,0.0,9,10,11,12,15,19,130,180,300,340,340
,Aggregated,117753,0,6,11.370593052197158,1.4840570001979358,433.7712350006768,35240.598821261454,393.3476118225429,0.0,6,8,9,10,12,18,110,160,280,350,430
