Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1701109630,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1701109631,100,,Aggregated,0.000000,0.000000,89,110,150,180,210,220,220,230,240,240,240,279,0,89,104.84811615767993,7.789674000378,236.2080729999434,25341.752688172044
1701109632,200,,Aggregated,0.000000,0.000000,110,130,150,160,190,210,220,220,240,240,240,560,0,100.0,107.82837560352293,2.1768819988210453,236.2080729999434,24763.110714285714
1701109633,300,,Aggregated,0.000000,0.000000,100,130,140,160,180,200,220,220,240,240,240,867,0,100.0,104.74806034370505,2.12415199894167,236.2080729999434,24775.521337946942
1701109634,400,,Aggregated,139.500000,0.000000,100,130,150,170,200,220,220,230,240,240,240,1186,0,100.0,108.63111810791409,2.12415199894167,236.2080729999434,24922.077571669477
1701109635,500,,Aggregated,187.000000,0.000000,100,130,150,170,200,210,220,230,240,240,240,1549,0,100.0,107.4780787152921,1.892348998808302,237.2677739986102,25893.86249193028
1701109636,600,,Aggregated,217.000000,0.000000,100,130,150,170,200,220,220,230,240,240,240,1932,0,100.0,106.90683307815718,1.892348998808302,237.2677739986102,26614.933229813665
1701109637,700,,Aggregated,237.200000,0.000000,100,140,160,170,200,220,230,230,240,250,250,2327,0,100.0,107.02356948044948,1.892348998808302,248.3202919993346,27257.831113021057
1701109638,800,,Aggregated,258.166667,0.000000,100,130,150,170,200,220,230,230,240,250,250,2749,0,100.0,104.62703488869046,1.892348998808302,248.3202919993346,27743.645325572936
1701109639,900,,Aggregated,276.000000,0.000000,100,130,160,170,200,220,230,240,300,300,300,3230,0,100.0,105.64796787400043,1.892348998808302,300.627059999897,27975.303715170277
1701109640,1000,,Aggregated,290.875000,0.000000,110,140,160,180,210,230,280,300,350,430,430,3774,0,110.0,111.61402303391115,1.892348998808302,433.7712350006768,28250.53815580286
1701109641,1100,,Aggregated,305.444444,0.000000,100,140,160,180,210,240,280,300,350,430,430,4322,0,100.0,109.25532546506298,1.892348998808302,433.7712350006768,28715.37552059232
1701109642,1200,,Aggregated,323.000000,0.000000,100,140,160,180,210,240,280,300,350,430,430,4912,0,100.0,108.14427406636806,1.892348998808302,433.7712350006768,28955.622964169383
1701109643,1250,,Aggregated,377.400000,0.000000,96,130,150,170,210,230,280,290,350,430,430,5379,0,96,102.3830032996817,1.747219001117628,433.7712350006768,29143.453244097414
1701109645,1250,,Aggregated,435.100000,0.000000,89,120,150,160,200,230,280,290,350,430,430,5774,0,89,95.9910316536196,1.747219001117628,433.7712350006768,29383.257706962246
1701109646,1250,,Aggregated,451.100000,0.000000,82,120,140,160,200,230,280,290,350,430,430,6098,0,82,91.28923823712846,1.747219001117628,433.7712350006768,29515.58740570679
1701109647,1250,,Aggregated,458.600000,0.000000,74,120,140,160,200,230,270,290,350,430,430,6477,0,74,86.40894372440678,1.747219001117628,433.7712350006768,29985.234676547785
1701109648,1250,,Aggregated,454.300000,0.000000,66,110,140,150,200,220,270,290,350,430,430,6886,0,66,81.75727531934335,1.747219001117628,433.7712350006768,30306.391228579727
1701109649,1250,,Aggregated,453.400000,0.000000,57,100,130,150,190,220,270,290,350,430,430,7290,0,57,77.63819688834485,1.747219001117628,433.7712350006768,30429.15514403292
1701109650,1250,,Aggregated,454.500000,0.000000,47,98,130,140,190,220,270,290,350,430,430,7725,0,47,73.7030724089341,1.747219001117628,433.7712350006768,30691.79430420712
1701109651,1250,,Aggregated,452.800000,0.000000,34,93,120,140,190,220,260,290,350,430,430,8130,0,34,70.3983995785998,1.6287679991364712,433.7712350006768,30861.78425584256
1701109652,1250,,Aggregated,448.000000,0.000000,22,88,120,140,180,220,260,290,350,430,430,8543,0,22,67.31037518073586,1.6287679991364712,433.7712350006768,31044.533419173593
1701109653,1250,,Aggregated,434.700000,0.000000,16,83,110,130,180,220,260,280,350,430,430,8880,0,16,65.06417282860686,1.6287679991364712,433.7712350006768,31248.493806306305
1701109654,1250,,Aggregated,420.600000,0.000000,14,77,110,130,180,220,260,280,350,430,430,9304,0,14,62.57495675612685,1.6287679991364712,433.7712350006768,31460.549333619947
1701109655,1250,,Aggregated,395.600000,0.000000,13,72,110,130,180,210,260,280,350,430,430,9720,0,13,60.21023083241015,1.6287679991364712,433.7712350006768,31605.446502057614
1701109656,1250,,Aggregated,390.200000,0.000000,12,66,100,120,180,210,250,280,350,350,430,10125,0,12,58.08294539269352,1.6287679991364712,433.7712350006768,31788.665382716048
1701109657,1250,,Aggregated,391.300000,0.000000,11,61,99,120,170,210,250,280,350,350,430,10478,0,11,56.37426521101701,1.6287679991364712,433.7712350006768,31909.057930902844
1701109658,1250,,Aggregated,400.300000,0.000000,11,55,95,120,170,210,250,280,350,350,430,10872,0,11,54.5904378972628,1.6287679991364712,433.7712350006768,32113.069168506256
1701109659,1250,,Aggregated,398.100000,0.000000,10,48,91,110,170,200,250,280,350,350,430,11273,0,10,52.91015694154578,1.6287679991364712,433.7712350006768,32283.513084360864
1701109660,1250,,Aggregated,396.400000,0.000000,10,40,87,110,160,200,240,280,350,350,430,11725,0,10,51.14384638627321,1.6287679991364712,433.7712350006768,32379.429936034114
1701109661,1250,,Aggregated,396.100000,0.000000,10,34,83,110,160,200,240,280,350,350,430,12074,0,10,49.85223016275272,1.6287679991364712,433.7712350006768,32481.105350339574
1701109662,1250,,Aggregated,396.400000,0.000000,9,27,79,100,160,200,240,280,350,350,430,12450,0,9,48.537664766352265,1.6287679991364712,433.7712350006768,32655.410441767068
1701109663,1250,,Aggregated,391.500000,0.000000,9,21,76,100,160,200,240,270,350,350,430,12855,0,9,47.21357248191939,1.6287679991364712,433.7712350006768,32787.50338389732
1701109664,1250,,Aggregated,389.000000,0.000000,9,17,71,97,150,200,240,270,350,350,430,13276,0,9,45.93278668085756,1.6287679991364712,433.7712350006768,32756.548357939137
1701109665,1250,,Aggregated,394.900000,0.000000,9,16,68,95,150,200,230,270,350,350,430,13653,0,9,44.84362908350404,1.6287679991364712,433.7712350006768,32909.380648941624
1701109666,1250,,Aggregated,395.300000,0.000000,9,15,64,92,150,190,230,270,350,350,430,14028,0,9,43.81444421970858,1.55110499872535,433.7712350006768,32890.6372968349
1701109667,1250,,Aggregated,393.900000,0.000000,8,14,59,89,150,190,230,270,350,350,430,14406,0,8,42.90211317986029,1.55110499872535,433.7712350006768,32929.5658059142
1701109668,1250,,Aggregated,387.500000,0.000000,8,13,55,85,150,190,230,270,350,350,430,14848,0,8,41.83934030711669,1.55110499872535,433.7712350006768,32981.97238685345
1701109669,1250,,Aggregated,390.100000,0.000000,8,13,49,82,140,190,230,270,340,350,430,15244,0,8,40.946071842894646,1.55110499872535,433.7712350006768,33023.56008921543
1701109670,1250,,Aggregated,395.400000,0.000000,8,12,44,79,140,190,230,260,340,350,430,15651,0,8,40.06967151051643,1.55110499872535,433.7712350006768,33073.336975273145
1701109671,1250,,Aggregated,396.300000,0.000000,8,12,39,76,140,190,230,260,340,350,430,16014,0,8,39.30198497802596,1.55110499872535,433.7712350006768,33073.90951667291
1701109672,1250,,Aggregated,392.500000,0.000000,8,12,35,73,140,190,230,260,340,350,430,16395,0,8,38.537104582561966,1.55110499872535,433.7712350006768,33147.95919487649
1701109673,1250,,Aggregated,391.900000,0.000000,8,11,30,69,140,180,230,260,340,350,430,16775,0,8,37.808596839588844,1.55110499872535,433.7712350006768,33193.135320417285
1701109674,1250,,Aggregated,391.200000,0.000000,8,11,25,67,140,180,220,260,340,350,430,17208,0,8,37.04416987326177,1.55110499872535,433.7712350006768,33316.219084146906
1701109675,1250,,Aggregated,388.700000,0.000000,8,11,21,63,130,180,220,260,340,350,430,17575,0,8,36.40060001286397,1.55110499872535,433.7712350006768,33375.05285917497
1701109676,1250,,Aggregated,387.600000,0.000000,8,11,19,59,130,180,220,260,340,350,430,17999,0,8,35.70030481338299,1.55110499872535,433.7712350006768,33423.77848769376
1701109677,1250,,Aggregated,389.300000,0.000000,8,11,17,56,130,180,220,260,340,350,430,18393,0,8,35.0648568354297,1.55110499872535,433.7712350006768,33464.13070189746
1701109678,1250,,Aggregated,394.900000,0.000000,8,10,16,52,130,180,220,260,340,350,430,18793,0,8,34.455976933488714,1.55110499872535,433.7712350006768,33530.212419517906
1701109679,1250,,Aggregated,397.000000,0.000000,8,10,15,49,130,180,220,260,330,350,430,19168,0,8,33.91008832293638,1.55110499872535,433.7712350006768,33546.10705342237
