Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,7637,0,17,89.64712102199839,4.5227169975987636,724.6327470020333,9925.979180306404,25.49344286133416,0.0,17,41,150,180,250,380,610,670,710,720,720
GET,/cart,16801,0,13,27.305488618257627,3.8923989995964803,669.1842889995314,12934.879114338431,56.08423903539023,0.0,13,17,20,23,49,110,200,290,530,640,670
POST,/cart,16264,0,19,37.30748114959994,6.020255998009816,933.1065040023532,17555.592289719625,54.29165309633871,0.0,19,24,28,32,57,130,290,450,710,900,930
POST,/cart/checkout,5361,0,15,22.897334153902367,5.618807001155801,562.579403998825,6396.063607535907,17.89581605075454,0.0,15,18,20,22,31,50,140,260,340,560,560
GET,/imageservice/bamboo-glass-jar.jpg,6241,0,6,23.12384035505689,1.7570689997228328,1188.5260219969496,75412.0,20.83338704957267,0.0,6,8,10,13,24,49,150,640,1100,1200,1200
GET,/imageservice/candle-holder.jpg,6204,0,6,25.009338862345672,1.8205550004495308,1311.6279259993462,89602.0,20.709875541667817,0.0,6,8,11,13,26,56,150,740,1100,1300,1300
GET,/imageservice/hairdryer.jpg,6141,0,6,22.20820281465014,1.706085000478197,1312.1893099996669,66076.0,20.499572163343338,0.0,6,8,9,11,21,46,140,650,1200,1300,1300
GET,/imageservice/loafers.jpg,6093,0,7,22.13868692154997,2.1789810016343836,1249.4950209984381,131516.0,20.33934101795326,0.0,7,10,12,14,24,51,130,410,1200,1200,1200
GET,/imageservice/mug.jpg,6160,0,6,24.719624570446275,1.6630620011710562,1193.0079509984353,62732.0,20.562996991726912,0.0,6,8,9,11,21,48,220,790,1100,1200,1200
GET,/imageservice/salt-and-pepper-shakers.jpg,6226,0,7,25.093944498343724,1.8779640013235621,1238.7440589991456,107881.0,20.78331481663827,0.0,7,9,11,13,25,55,140,700,1200,1200,1200
GET,/imageservice/sunglasses.jpg,6181,0,6,24.78966160765723,1.6495829986524768,1313.510779000353,65681.0,20.633098117835072,0.0,6,8,9,11,23,51,180,770,1100,1300,1300
GET,/imageservice/tank-top.jpg,6158,0,8,25.04382653215937,2.3910189993330278,1214.1663930015056,155767.0,20.556320694002324,0.0,8,10,12,15,28,60,150,610,1200,1200,1200
GET,/imageservice/watch.jpg,6200,0,6,24.59275087756513,1.943824998306809,1330.5350310001813,98510.0,20.696522946218646,0.0,6,8,11,13,24,50,160,770,1200,1300,1300
GET,/product/0PUK6V6EV0,7943,0,12,26.933087963746747,4.290285000024596,544.268744000874,7528.198791388644,26.51491641319592,0.0,12,16,19,21,45,110,210,320,490,540,540
GET,/product/1YMWWN1N4O,7922,0,12,25.420382244145916,4.161498000030406,602.1169519990508,7579.072456450392,26.44481528708776,0.0,12,16,18,21,40,100,190,270,480,600,600
GET,/product/2ZYFJ3GM2N,8017,0,12,25.9947273449045,4.3571930000325665,530.8300079996116,7550.172633154547,26.761939429005626,0.0,12,15,18,21,42,100,210,310,500,530,530
GET,/product/66VCHSJNUP,7983,0,12,26.477462535979306,4.315008998673875,602.3010530007014,7517.6348490542405,26.64844236768765,0.0,12,15,18,21,43,100,210,320,510,600,600
GET,/product/6E92ZMYYFZ,8101,0,12,26.2407415622644,4.052755000884645,581.8070819987042,7527.663498333539,27.042343933438264,0.0,12,15,18,21,42,100,210,310,500,580,580
GET,/product/9SIQT8TOJO,8067,0,12,25.806780536625258,4.228755002259277,612.0115880003141,7572.98450477253,26.928846872120292,0.0,12,15,18,21,43,100,190,300,500,610,610
GET,/product/L9ECAV7KIM,7932,0,12,26.90501526538459,4.215974997350713,602.9219439988083,7547.747982854261,26.478196775710693,0.0,12,15,18,21,47,110,210,320,510,600,600
GET,/product/LS4PSXUNUM,7918,0,12,26.863820355146743,4.2651430012483615,554.2181350028841,7533.584238444051,26.431462691638586,0.0,12,16,19,21,43,110,210,320,500,550,550
GET,/product/OLJCESPC7Z,7990,0,12,25.589885580244456,4.305510999984108,552.1300180007529,7578.775093867334,26.671809409723707,0.0,12,15,19,21,41,100,190,290,500,550,550
POST,/setCurrency,11239,0,16,34.36169740013647,5.430724999314407,718.032459000824,9944.185603701397,37.517455063314735,0.0,16,21,25,28,55,140,270,370,610,690,720
,Aggregated,184779,0,12,29.682487509440616,1.6495829986524768,1330.5350310001813,35366.08641674649,616.8198086256992,0.0,12,15,19,22,44,120,240,410,1100,1200,1300
