Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4909,0,8,46.41048806499496,3.6714249981741887,335.15651100242394,10040.214503972296,16.36339042288777,0.0,8,12,82,120,170,190,220,250,280,340,340
GET,/cart,10801,0,7,8.769948004816975,3.1655640013923403,124.4228089999524,13106.53467271549,36.00345894430857,0.0,7,8,9,9,13,18,43,59,92,100,120
POST,/cart,10496,0,9,12.032121018585494,4.85425900114933,142.13271400149097,17619.162728658535,34.986788730623346,0.0,9,11,12,14,18,24,43,64,120,140,140
POST,/cart/checkout,3464,0,9,11.382904392589818,5.130901001393795,94.54743400056032,6445.665127020785,11.546706951493833,0.0,9,11,13,14,18,23,34,41,82,95,95
GET,/product/0PUK6V6EV0,5089,0,6,8.665444825299193,3.360350998264039,127.44401099917013,7593.197877775595,16.963392516210195,0.0,6,7,8,9,12,18,53,72,100,130,130
GET,/product/1YMWWN1N4O,5038,0,6,8.558363182399702,3.4037929981423076,123.7823629999184,7639.923580786026,16.793391923102174,0.0,6,7,8,9,12,17,53,68,100,120,120
GET,/product/2ZYFJ3GM2N,5048,0,6,8.484742862524277,3.3449160000600386,129.73494899779325,7612.863312202852,16.826725372731197,0.0,6,7,8,9,11,16,51,71,94,130,130
GET,/product/66VCHSJNUP,5087,0,6,8.73960605995885,3.374109997821506,117.01563500173506,7580.340082563397,16.95672582628439,0.0,6,7,8,9,12,19,57,71,97,120,120
GET,/product/6E92ZMYYFZ,5055,0,6,8.622194639772752,3.431728997384198,115.23076700177626,7586.435608308605,16.850058787471514,0.0,6,7,8,9,12,17,52,71,100,120,120
GET,/product/9SIQT8TOJO,5235,0,6,8.75872306958387,3.3979960026044864,127.10716499714181,7637.991595033429,17.45006088079394,0.0,6,7,8,9,12,19,56,70,100,130,130
GET,/product/L9ECAV7KIM,5215,0,6,8.614852902746817,3.393246999621624,135.77029699808918,7611.9867689357625,17.383393981535896,0.0,6,7,8,9,12,18,53,72,110,140,140
GET,/product/LS4PSXUNUM,5064,0,6,8.38113805882977,3.3453359974373598,113.71471999882488,7603.388033175355,16.880058892137637,0.0,6,7,8,9,11,16,53,69,89,110,110
GET,/product/OLJCESPC7Z,5180,0,6,8.409889585307884,3.487671998300357,104.00955300065107,7641.546718146718,17.26672690783431,0.0,6,7,8,9,11,17,48,73,96,100,100
POST,/setCurrency,7108,0,8,10.772037633487743,4.580341003020294,157.56529799909913,10059.995638716939,23.693415996310094,0.0,8,9,11,11,15,20,44,85,120,160,160
,Aggregated,82789,0,7,11.592290998874073,3.1655640013923403,335.15651100242394,9902.961746125693,275.9642961337249,0.0,7,8,10,11,15,25,80,140,240,270,340
