Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,8608,0,12,59.03168998176041,3.7217649987724144,634.8895160008396,10040.120817843866,28.67922610044887,0.0,12,23,110,140,190,210,260,400,460,630,630
GET,/cart,18937,0,9,14.78361571791424,3.317105998576153,303.2163349998882,13035.26482547394,63.092298404298354,0.0,9,12,14,15,22,47,88,120,190,300,300
POST,/cart,18733,0,14,19.32527455495593,5.24465100170346,372.4468649998016,17586.686595846902,62.41263272998474,0.0,14,17,20,22,30,50,88,130,230,330,370
POST,/cart/checkout,6239,0,13,16.167454796753926,5.025279999244958,265.20500799961155,6445.9642570924825,20.78644187275796,0.0,13,16,18,20,26,33,48,70,170,270,270
GET,/product/0PUK6V6EV0,8913,0,9,15.066535968026079,3.481720999843674,297.9169970021758,7591.4218557163695,29.695392917437356,0.0,9,11,13,14,22,56,100,140,230,300,300
GET,/product/1YMWWN1N4O,9011,0,9,14.801938182447435,3.3607559998927172,302.7145259984536,7639.650982132948,30.021898976666446,0.0,9,11,13,14,21,53,99,120,220,300,300
GET,/product/2ZYFJ3GM2N,9096,0,9,15.205275628492783,3.286793998995563,311.7641230019217,7612.382475813544,30.30509300763045,0.0,9,11,13,15,22,58,100,130,210,310,310
GET,/product/66VCHSJNUP,8955,0,9,15.00311784714341,3.313404002255993,304.29139899933944,7579.438637632607,29.835324085678394,0.0,9,11,13,14,21,56,100,120,240,300,300
GET,/product/6E92ZMYYFZ,9115,0,9,14.511620603512398,3.306420003355015,293.11520899864263,7586.886231486561,30.36839520278711,0.0,9,11,13,14,20,48,93,120,230,290,290
GET,/product/9SIQT8TOJO,9045,0,9,14.584926054618862,3.426268001931021,292.35750299994834,7638.471752349365,30.135176589052048,0.0,9,11,13,14,21,50,96,120,210,290,290
GET,/product/L9ECAV7KIM,9135,0,9,15.168958755123814,3.4708259991020896,325.2737059992796,7609.67925561029,30.435029092425697,0.0,9,11,13,14,22,57,100,130,270,330,330
GET,/product/LS4PSXUNUM,9060,0,9,14.758681364002797,3.5012770022149198,284.5189510007913,7603.689293598234,30.185152006280987,0.0,9,11,13,14,21,51,99,120,230,280,280
GET,/product/OLJCESPC7Z,9078,0,9,14.88601970157466,3.2563439999648836,321.5513130016916,7640.982705441727,30.24512250695572,0.0,9,11,13,14,21,54,100,130,200,320,320
POST,/setCurrency,12546,0,11,18.961300146031544,4.547428001387743,434.43640300029074,10058.787023752591,41.79943897028712,0.0,11,14,17,19,28,64,120,150,280,400,430
,Aggregated,146471,0,10,18.43927857558876,3.2563439999648836,634.8895160008396,9891.186350881744,487.9966224626912,0.0,10,13,15,17,27,72,140,180,300,450,630
