Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1986,0,5,38.45165831268099,3.9792000025045127,191.33033099933527,9927.197381671702,6.632273824591175,0.0,5,6,76,110,140,160,170,180,190,190,190
GET,/cart,4252,0,4,5.336315500957946,2.9892020029365085,119.94401200354332,13082.122295390405,14.199611431098528,0.0,4,5,5,5,6,6,8,46,82,120,120
POST,/cart,4255,0,6,7.4161185497590685,4.944054999214131,88.30128899717238,17514.054054054053,14.209629971619059,0.0,6,7,7,7,8,9,20,44,71,88,88
POST,/cart/checkout,1425,0,6,6.748843383112424,5.046163001679815,42.58047499752138,6396.341754385965,4.758806747251977,0.0,6,7,7,7,8,8,10,11,32,43,43
GET,/product/0PUK6V6EV0,2064,0,4,5.054729815897154,3.06434999947669,113.04230799578363,7528.406492248062,6.892755878124968,0.0,4,4,4,5,5,6,9,47,78,110,110
GET,/product/1YMWWN1N4O,2117,0,4,4.94907347906212,3.035854999325238,87.85598100075731,7580.35380255078,7.069750093987673,0.0,4,4,4,5,5,5,8,45,78,88,88
GET,/product/2ZYFJ3GM2N,2098,0,4,5.1351422511543445,3.0381600008695386,87.81484599603573,7551.341277407054,7.006299337357646,0.0,4,4,4,5,5,5,30,53,84,88,88
GET,/product/66VCHSJNUP,2134,0,4,5.100362071667727,3.057435998925939,84.61395499762148,7520.991565135895,7.126521823604012,0.0,4,4,4,5,5,6,30,50,80,85,85
GET,/product/6E92ZMYYFZ,2049,0,4,5.040116555932797,3.0143439944367856,113.26126100175316,7528.950219619326,6.842663175522316,0.0,4,4,4,5,5,6,8,50,84,110,110
GET,/product/9SIQT8TOJO,2069,0,4,5.126743942512721,2.951975999167189,108.79477800335735,7574.540357660706,6.909453445659185,0.0,4,4,4,5,5,6,9,51,84,110,110
GET,/product/L9ECAV7KIM,2044,0,4,5.101930956450801,2.9933910045656376,86.43185000255471,7550.210861056751,6.825965607988098,0.0,4,4,4,5,5,6,33,48,82,86,86
GET,/product/LS4PSXUNUM,2042,0,4,5.214804163065163,2.9754420029348694,117.72697300330037,7533.644955925563,6.819286580974411,0.0,4,4,4,5,5,6,37,53,80,120,120
GET,/product/OLJCESPC7Z,2077,0,4,5.17361531778929,3.070705999562051,109.83534200204303,7579.592681752528,6.936169553713933,0.0,4,4,4,5,5,6,10,51,83,110,110
POST,/setCurrency,2819,0,6,7.808081816610927,4.886994996923022,131.47506499808514,9946.502660517914,9.414088575791805,0.0,6,6,7,7,7,8,49,79,120,130,130
,Aggregated,33431,0,4,7.704332381336748,2.951975999167189,191.33033099933527,9815.839101432803,111.64327604728479,0.0,4,5,6,6,7,8,63,120,180,190,190
