Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6763,0,11,66.08339175914406,3.740705999007332,1569.329555000877,10039.17743604909,22.56367702524825,0.0,11,44,110,130,190,240,320,380,1500,1600,1600
GET,/cart,14612,0,8,28.02466461818473,3.2666919996700017,1577.0787380006368,12988.542225568026,48.75062083290366,0.0,8,10,13,15,41,83,240,500,1300,1600,1600
POST,/cart,14540,0,11,26.41415673183405,4.92402899908484,1760.1598219989683,17615.829367262722,48.51040425064462,0.0,11,14,17,21,43,94,190,290,890,1800,1800
POST,/cart/checkout,4891,0,11,18.636125476385057,4.9352030000591185,1297.692009000457,6446.728685340421,16.31804588651326,0.0,11,14,16,18,28,49,91,130,810,1300,1300
GET,/product/0PUK6V6EV0,7036,0,7,27.5984259611963,3.2905090010899585,1572.1480049996899,7591.049602046617,23.474498232980437,0.0,7,9,12,14,44,89,200,470,1500,1600,1600
GET,/product/1YMWWN1N4O,7034,0,7,28.421144133486,3.3820709995779907,1572.7143490003073,7638.402615865794,23.467825550139906,0.0,7,9,12,14,49,95,220,480,1500,1600,1600
GET,/product/2ZYFJ3GM2N,7114,0,7,26.228586953899168,3.3994610002991976,1559.2847539992363,7610.962327804329,23.73473286376106,0.0,7,9,12,14,45,86,190,430,1400,1600,1600
GET,/product/66VCHSJNUP,7051,0,7,28.039886882999877,3.4284449993720045,1577.8647340011958,7579.082966955042,23.5245433542844,0.0,7,9,12,14,47,92,270,470,1400,1600,1600
GET,/product/6E92ZMYYFZ,7021,0,7,29.32203911564639,3.388356000868953,1568.8530970001011,7585.703603475288,23.42445311167647,0.0,7,9,12,14,44,89,270,490,1500,1600,1600
GET,/product/9SIQT8TOJO,7092,0,7,27.638471631992672,3.34002599993255,1567.4508910014993,7638.821065989848,23.661333352515243,0.0,7,9,12,14,42,86,220,480,1500,1600,1600
GET,/product/L9ECAV7KIM,7049,0,7,30.276127802962865,3.3113200006482657,1573.2270539992896,7609.117321605901,23.517870671443873,0.0,7,9,12,15,51,96,300,590,1300,1600,1600
GET,/product/LS4PSXUNUM,7191,0,7,29.083562471429918,3.2987490012601484,1576.133504999234,7602.673897927965,23.99163115312142,0.0,7,10,12,15,46,93,220,540,1500,1600,1600
GET,/product/OLJCESPC7Z,6975,0,7,29.083328863660785,3.3307369994872715,1575.9635110007366,7640.620215053764,23.270981406344305,0.0,7,9,12,14,50,98,240,480,1500,1600,1600
POST,/setCurrency,9813,0,10,35.534974147251006,4.5026759999018395,1973.9395570013585,10057.719148068889,32.73951835705472,0.0,10,12,15,18,57,110,270,600,1900,2000,2000
,Aggregated,114182,0,8,30.530425895019242,3.2666919996700017,1973.9395570013585,9877.242104710025,380.95013604863163,0.0,8,11,14,17,55,110,240,460,1500,1900,2000
