Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,455,0,28,39.87189267480881,4.277419000572991,119.53899700165493,9907.7010989011,3.160613073985592,0.0,28,61,70,76,86,95,110,110,120,120,120
GET,/cart,747,0,9,13.457631154025286,3.395605002879165,102.5563629991666,11489.014725568943,5.188962563224697,0.0,9,12,15,17,27,41,52,66,100,100,100
POST,/cart,820,0,11,16.02365672304852,5.570526998781133,112.23375699773896,17051.35975609756,5.696049935534473,0.0,11,15,19,23,32,43,57,69,110,110,110
POST,/cart/checkout,282,0,11,13.54833116674338,5.582329999015201,112.64114000005065,6395.812056737589,1.958885465635026,0.0,11,14,17,18,24,27,33,40,110,110,110
GET,/imageservice/huge.jpg,355,0,57,82.55041236353834,37.00265900261002,903.2874180011277,5249178.0,2.4659728379448023,0.0,57,68,76,86,110,140,520,740,900,900,900
GET,/imageservice/huge1.jpg,302,0,55,76.91802766559752,34.716199999820674,724.7599909969722,5249178.0,2.097813512843184,0.0,55,68,77,83,110,130,460,540,720,720,720
GET,/imageservice/huge2.jpg,310,0,58,80.65818372262818,35.82380999796442,901.7752189974999,5249178.0,2.153384731726447,0.0,58,69,81,85,110,140,390,590,900,900,900
GET,/imageservice/huge3.jpg,327,0,61,82.99828492060416,36.09486400091555,804.5813960015948,5249178.0,2.2714735718533814,0.0,61,72,81,88,100,140,490,680,800,800,800
GET,/imageservice/huge4.jpg,337,0,55,80.45519382489881,36.273097997764125,964.1405369984568,5249178.0,2.3409375954574605,0.0,55,68,76,84,100,130,580,630,960,960,960
GET,/imageservice/huge5.jpg,294,0,55,64.67842807152152,36.3446160008607,413.9620210007706,5249178.0,2.0422422939599207,0.0,56,62,68,76,95,110,160,320,410,410,410
GET,/imageservice/huge6.jpg,290,0,56,81.87205678620776,35.658635999425314,858.1792799996038,5249178.0,2.014456684518289,0.0,56,69,77,82,110,150,490,740,860,860,860
GET,/imageservice/huge7.jpg,342,0,60,84.5675720788331,35.08845399846905,917.5079070009815,5249178.0,2.3756696072595,0.0,60,69,79,91,120,150,580,630,920,920,920
GET,/imageservice/huge8.jpg,302,0,55,80.5784155363533,35.12595799838891,630.5086449974624,5249178.0,2.097813512843184,0.0,55,65,74,81,110,160,500,580,630,630,630
GET,/product/0PUK6V6EV0,409,0,9,12.813310039054713,3.6413060006452724,84.73046699873521,7522.190709046455,2.8410785654068285,0.0,9,12,15,17,26,34,48,61,85,85,85
GET,/product/1YMWWN1N4O,401,0,9,13.07941961096091,3.601705997425597,108.41582299690344,7573.27680798005,2.7855073465235654,0.0,9,12,15,16,27,36,51,67,110,110,110
GET,/product/2ZYFJ3GM2N,409,0,9,13.58598733502927,4.110148998734076,111.27078800200252,7544.687041564792,2.8410785654068285,0.0,9,12,16,18,30,37,49,64,110,110,110
GET,/product/66VCHSJNUP,433,0,8,13.015790498848345,3.9932360014063306,114.43137700189254,7511.907621247113,3.0077922220566182,0.0,8,11,15,17,27,36,50,100,110,110,110
GET,/product/6E92ZMYYFZ,379,0,8,11.434487060664543,3.794258002017159,119.61966400122037,7520.992084432718,2.632686494594592,0.0,8,10,12,15,21,29,45,67,120,120,120
GET,/product/9SIQT8TOJO,388,0,8,12.092473840274364,3.8691269983246457,93.90696099944762,7561.8247422680415,2.695204115838263,0.0,8,11,13,16,25,37,46,49,94,94,94
GET,/product/L9ECAV7KIM,442,0,9,13.69971718767831,3.8084359985077754,99.4199380002101,7539.567873303167,3.070309843300289,0.0,9,12,17,20,29,39,53,64,99,99,99
GET,/product/LS4PSXUNUM,392,0,9,13.991513772981882,3.9138959982665256,116.03478899996844,7522.686224489796,2.7229897252798945,0.0,9,11,15,19,34,43,55,66,120,120,120
GET,/product/OLJCESPC7Z,429,0,9,11.812896116548908,3.875064001476858,107.1957679996558,7573.431235431235,2.9800066126149867,0.0,9,11,13,15,23,32,44,49,110,110,110
POST,/setCurrency,571,0,10,15.095948005297117,4.7167199991235975,104.45436500231153,9938.70227670753,3.9663957477929075,0.0,10,13,16,20,30,45,65,78,100,100,100
,Aggregated,9416,0,15,34.92919147770775,3.395605002879165,964.1405369984568,1600437.303950722,65.40732462560074,0.0,15,39,48,54,74,94,130,250,770,960,960
