Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,4519,0,11,132.35655510401315,3.655215999970096,16999.57207799889,9924.934498782917,15.058250614642262,0.0,11,75,130,160,230,390,1100,1900,8900,17000,17000
GET,/cart,9901,0,8,176.05337881466247,3.2092800011014333,16637.32155100115,12860.44540955459,32.99219724177319,0.0,8,10,12,15,63,830,2200,3400,14000,17000,17000
POST,/cart,9819,0,11,156.36825774416684,5.068735001259483,19192.354159000388,17488.13830328954,32.71895613745792,0.0,11,14,17,20,47,670,1600,3100,17000,19000,19000
POST,/cart/checkout,3300,0,10,111.32482499180695,4.439884000021266,10668.291814999975,6395.868181818182,10.996288344394658,0.0,10,13,16,20,38,690,1400,2000,8000,11000,11000
GET,/imageservice/bamboo-glass-jar.jpg,3637,0,3,75.59574537503941,1.5515949999098666,2772.6845140005025,75412.0,12.119242638958598,0.0,3,4,5,6,17,300,1800,2100,2600,2800,2800
GET,/imageservice/candle-holder.jpg,3745,0,3,91.08572823017256,1.6054429997893749,2726.5939459994115,89602.0,12.479121166593332,0.0,3,4,5,6,19,490,1900,2200,2700,2700,2700
GET,/imageservice/hairdryer.jpg,3573,0,3,85.34352464146347,1.4573799999197945,2776.947067000947,66076.0,11.905981289249127,0.0,3,4,4,5,22,410,1800,2100,2700,2800,2800
GET,/imageservice/loafers.jpg,3684,0,4,79.46823966857882,1.9355140011612093,2811.7338920001202,131516.0,12.275856442651492,0.0,4,5,6,7,21,320,1800,2100,2700,2800,2800
GET,/imageservice/mug.jpg,3553,0,3,71.38808777961046,1.472535001084907,2622.893400999601,62732.0,11.839337117464916,0.0,3,4,4,5,16,310,1600,2000,2500,2600,2600
GET,/imageservice/salt-and-pepper-shakers.jpg,3702,0,4,88.04354147165088,1.7483379997429438,2858.5891510010697,107881.0,12.335836197257281,0.0,4,4,5,7,20,430,1900,2200,2700,2900,2900
GET,/imageservice/sunglasses.jpg,3591,0,3,81.87170344721493,1.4225289996829815,2737.284692000685,65681.0,11.965961043854914,0.0,3,4,4,5,22,340,1800,2200,2700,2700,2700
GET,/imageservice/tank-top.jpg,3626,0,4,81.05787194593616,2.0800149995920947,2772.451593000369,155767.0,12.082588344477283,0.0,4,5,6,7,20,350,1800,2000,2600,2800,2800
GET,/imageservice/watch.jpg,3645,0,3,82.90008537943078,1.7313670014118543,2902.323971999067,98510.0,12.145900307672282,0.0,3,4,5,6,15,400,1700,2200,2800,2900,2900
GET,/product/0PUK6V6EV0,4673,0,7,155.42832796192053,3.4248800002387725,14751.575505000801,7520.579499251016,15.57141073738068,0.0,7,9,12,14,61,690,2600,3900,10000,15000,15000
GET,/product/1YMWWN1N4O,4785,0,7,160.88477504137353,3.4604289994604187,14611.147663999873,7572.675026123302,15.944618099372256,0.0,7,9,11,13,61,650,1800,3900,14000,15000,15000
GET,/product/2ZYFJ3GM2N,4719,0,7,147.65345726255308,3.367400000570342,13702.081382998585,7543.162110616656,15.724692332484363,0.0,7,9,11,14,72,620,1900,3300,10000,14000,14000
GET,/product/66VCHSJNUP,4791,0,7,165.44502990001305,3.3118070005002664,14646.796051998535,7510.62387810478,15.964611350907518,0.0,7,9,11,13,43,630,2500,4100,14000,15000,15000
GET,/product/6E92ZMYYFZ,4806,0,7,155.19960373845836,3.3782250011427095,14448.573641999246,7519.52684144819,16.014594479745675,0.0,7,9,11,14,58,680,2000,3400,14000,14000,14000
GET,/product/9SIQT8TOJO,4833,0,7,151.76495282681026,3.3542000001034467,14592.247775000942,7566.511897372233,16.10456411165436,0.0,7,9,11,14,52,650,1700,3100,14000,15000,15000
GET,/product/L9ECAV7KIM,4827,0,7,182.5308665094249,3.3653059999778634,14864.010470999347,7540.6801325875285,16.084570860119097,0.0,7,9,11,14,68,670,2700,5000,14000,15000,15000
GET,/product/LS4PSXUNUM,4626,0,7,158.90291264290067,3.3335970001644455,14814.300938000088,7527.521833117164,15.414796933687786,0.0,7,9,12,14,72,660,2000,4300,14000,15000,15000
GET,/product/OLJCESPC7Z,4728,0,7,146.3927038553188,3.447717999733868,14039.499353999418,7572.08989001692,15.754682209787257,0.0,7,9,11,14,50,600,1800,3100,14000,14000,14000
POST,/setCurrency,6481,0,9,121.11810209443462,4.478786000618129,16389.95462499952,9944.992593735535,21.596043866673266,0.0,9,12,14,17,74,640,1600,2900,9000,16000,16000
,Aggregated,109564,0,7,132.21139833565715,1.4225289996829815,19192.354159000388,35272.320333321164,365.0901018682595,0.0,7,9,12,14,63,590,1800,2800,12000,17000,19000
