Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,5647,0,15,105.89513527961886,4.1844650004350115,853.6623339996368,9926.770674694528,18.822163069164315,0.0,15,28,190,260,370,410,510,710,820,850,850
GET,/cart,12750,0,11,18.668038915370726,3.661913000541972,386.2999860002674,12845.788078431373,42.4973577354073,0.0,11,14,17,19,27,46,140,180,300,350,390
POST,/cart,12554,0,16,24.640293143621015,5.344876999515691,572.7985840003385,17535.766209972917,41.84406502041594,0.0,16,20,24,27,38,57,140,210,350,560,570
POST,/cart/checkout,4131,0,16,21.503431653599947,5.8041520005645,316.81820299945684,6396.018639554587,13.769143906271964,0.0,16,19,23,25,33,45,77,150,300,320,320
GET,/product/0PUK6V6EV0,6028,0,10,18.346571585928597,3.8303700002870755,436.713451000287,7527.791970802919,20.09208411208119,0.0,10,13,16,17,26,42,140,200,340,440,440
GET,/product/1YMWWN1N4O,6008,0,10,17.73488367276907,3.830719000688987,400.6102359999204,7578.999001331558,20.025421590143296,0.0,10,13,16,18,25,42,130,180,340,400,400
GET,/product/2ZYFJ3GM2N,6148,0,10,17.456757253740427,3.6605159993996494,384.59739800055104,7550.331489915419,20.492059243708553,0.0,10,13,15,17,25,37,130,190,310,380,380
GET,/product/66VCHSJNUP,6071,0,10,18.596211200457105,3.8065540002207854,455.7660560003569,7517.2123208697085,20.23540853424766,0.0,10,13,15,17,25,41,150,210,350,460,460
GET,/product/6E92ZMYYFZ,6124,0,10,17.750359345688402,3.647804999673099,375.96418900011486,7527.646309601568,20.41206421738308,0.0,10,13,15,17,24,39,140,190,320,380,380
GET,/product/9SIQT8TOJO,6212,0,10,18.760418911781,3.8891069998499006,487.7398409998932,7572.421764327109,20.705379313909813,0.0,10,13,15,17,25,47,160,210,340,490,490
GET,/product/L9ECAV7KIM,5979,0,11,18.444050128957794,3.7809229997947114,394.1745109996191,7549.325806991135,19.92876093333335,0.0,11,13,16,17,25,47,140,200,310,390,390
GET,/product/LS4PSXUNUM,6214,0,10,18.44949831894932,3.7253279997457867,498.8533200003076,7534.152075957515,20.7120455661036,0.0,10,13,15,17,25,45,150,200,340,500,500
GET,/product/OLJCESPC7Z,6047,0,11,18.293719100538734,3.746350999790593,390.67798199994286,7578.928724987597,20.15541350792219,0.0,11,13,16,17,25,45,150,190,330,390,390
POST,/setCurrency,8530,0,14,24.53307375650829,5.20198099911795,567.9909969994696,9944.862133645955,28.431565606511704,0.0,14,17,20,23,33,57,200,270,480,570,570
,Aggregated,98443,0,12,24.80209479122855,3.647804999673099,853.6623339996368,9803.92826305578,328.12293235660394,0.0,12,15,18,21,31,75,230,330,560,800,850
